Variety	Field I PCo1	Field I shannon_e	Field I Tiller	Field II PCo1	Field II shannon_e	Field II Tiller
A4001	-0.0344699651219314	5.18	14	0.0946205381459012	5.62666666666667	30
A4002	-0.0715474502284892	4.76666666666667	11.17	0.0829143166641235	5.56833333333333	23.33
A4003	-0.0806757934095951	4.48833333333333	10.83	-0.0976025884373796	5.19666666666667	21.67
A4004	0.0632561322918561	5.50333333333333	22	0.0810819647639835	5.605	44
A4005	-0.050940003418756	4.87	11.17	0.0347727150572946	5.70166666666667	21.67
A4006	-0.0425756841902103	4.74333333333333	9.83	-0.0753728656223136	5.38333333333333	24.67
A4007	-0.0426245450370269	4.9	9.17	-0.0870599362090978	5.29166666666667	19.67
A4008	0.159805410378153	5.68166666666667	19.17	0.205918591064887	5.73833333333333	34.33
A4009	-0.0404005229640455	4.77	11	-0.118680575404273	5.12833333333333	20.67
A4010	-1.68738257571813e-05	5.30666666666667	18.83	0.154545178166243	5.70666666666667	37.5
B4011	0.0529552367203382	4.99	8.67	-0.127837407636894	5.15333333333333	15.33
B4012	-0.176613578283845	3.965	12.5	-0.135937344053851	4.84166666666667	23.83
B4013	-0.261957235645981	3.515	11.33	-0.237304448430486	4.18166666666667	24.67
B4014	0.0939612027788722	5.10666666666667	9.33	-0.208202021222937	4.6225	22.5
B4015	-0.056855715165927	4.31833333333333	15.5	-0.044524425289355	5.78666666666667	29
B4016	0.137897086863974	5.13	13.33	-0.0612002171331926	5.51833333333333	21.17
B4017	-0.00980153707018012	5.285	8.5	0.192869628230949	6.14333333333333	18.67
B4018	0.259855979274553	5.64833333333333	17.17	0.167416888628781	5.68166666666667	32.5
B4019	0.232058177601247	5.5675	11.25	0.0536452485434606	5.52	19.5
B4020	-0.190682200594449	4.155	10.17	-0.107294281908361	4.86333333333333	23.17
C4021	-0.0370266918426224	5.01166666666667	6.67	0.02949754485092	5.25833333333333	17.83
C4022	-0.0578755945491542	4.92666666666667	8.17	0.00217778194049951	5.35333333333333	20.33
C4023	0.0156692542298092	4.81333333333333	18.67	0.0134182314344012	5.39833333333333	31.5
C4024	-0.00833222743273667	5.19666666666667	15	-0.181844077664601	4.93	29.83
C4025	-0.0636245995458029	4.47	17.33	-0.0936671941382292	5.27166666666667	30.17
C4026	-0.0662494910354773	4.18	12	-0.1845860043264	4.52666666666667	18.33
C4027	-0.180006383421125	4.28333333333333	9.17	-0.0706690671920326	4.97833333333333	21.33
C4028	0.0365621328677014	4.92	10.83	-0.131402342533839	5.10666666666667	23.67
C4029	0.105979250467111	5.46	13.67	-0.00574635861000602	5.67666666666667	21.33
C4030	0.0197209267270939	5.225	7.33	0.0165640559695782	5.9	18.17
D4031	-0.00693387122278859	4.8	10.5	-0.046515900672831	5.46833333333333	20.17
D4032	-0.0102555079025601	5.32	10.83	0.069078472439884	5.55	22
D4033	-0.104824764253437	4.52333333333333	9	-0.203374977299237	5.02333333333333	16.83
D4034	0.162535198620981	5.335	20.83	0.167085951728974	5.89	37.17
D4035	0.112380447192497	5.21666666666667	13.67	0.00962823177274895	5.47666666666667	25.17
D4036	0.190187223256325	5.43333333333333	21.17	0.0862041696822481	5.61	36.17
D4037	0.153881753491144	5.26833333333333	15.5	0.126383009922837	5.64666666666667	26.5
D4039	0.0595482132036532	5.28	11.33	0.188825109646664	5.92666666666667	23.67
D4040	0.029691061423725	4.97333333333333	16	-0.0844702576277477	4.885	25.33
E4041	0.207281538175822	5.915	22.5	0.183828782324477	6	39.33
E4042	0.0514290666190538	5.54833333333333	20.67	0.192425212096116	5.81166666666667	30.5
E4043	0.247573058531139	5.61333333333333	22.33	0.180214743730354	5.84833333333333	35.5
E4044	-0.0263759696146829	5.08166666666667	10.33	0.0543555319358892	5.45166666666667	21.5
E4045	0.158556775113004	5.64	26	0.143744410804824	5.985	41.17
E4046	0.0951404400535007	5.69666666666667	15.17	0.129802348872762	5.76666666666667	24.67
E4047	0.0752298267785825	5.6	15.5	0.14055693187002	5.80833333333333	36.67
E4048	0.192400092154845	5.64	14.5	0.227771014097879	5.61666666666667	22
E4049	0.168887673027696	5.73833333333333	17.83	0.132465650076035	5.53833333333333	27.17
E4050	0.0898993000568328	5.73166666666667	15.5	0.103165630603621	5.53666666666667	30
F4051	-0.0349391508610386	5.23	15.5	0.0911999681282046	5.70333333333333	26.5
F4052	0.0678869096409825	5.24166666666667	13.67	0.0546239815138405	5.58333333333333	26.83
F4053	0.0113797382378025	5.33666666666667	15	0.135847542938718	5.4	27.33
F4054	-0.0124090657234044	5.35	14.5	0.0720729155652208	5.53	32.33
F4055	0.0926993496444218	5.60333333333333	10.17	0.109803031115745	5.705	23.5
F4056	0.115174942553569	5.71166666666667	21	0.222064753348352	5.96	31.2
F4057	0.100451075196434	5.32166666666667	17	0.126756300155752	5.62	29.67
F4058	-0.0330823698346991	4.98	8.67	-0.0756036498532168	5.25166666666667	16.5
F4059	0.0273665316646087	5.415	10.67	0.0125209663353723	5.52	20.83
F4060	0.0933421248658127	5.56	12.5	0.0681934396578064	5.72166666666667	33.17
G4062	0.150116369911527	5.53666666666667	21.5	-0.0270102620713306	5.375	31.67
G4065	-0.158765549250504	4.59833333333333	11	-0.0905125712344234	5.315	18.33
G4066	0.0906127298575461	5.31333333333333	9.33	0.156571733471358	5.52166666666667	26.5
G4067	-0.0746610455719618	4.945	7.83	2.19018566303881e-05	5.61	43.17
G4068	-0.013568350019329	5.17333333333333	9	-0.0332977330471487	5.82	23.67
G4069	-0.0812260530423659	4.61	11.17	0.0454426778039544	5.78	29.83
G4070	0.148310005979482	5.26333333333333	10.5	0.0746117786828252	5.265	30.33
H4071	-0.155014380769931	4.34666666666667	7	-0.208402016987301	4.47333333333333	30.67
H4072	0.111345409111392	5.63333333333333	16.33	0.151998123964215	6.095	31
H4073	-0.0189592093738685	4.66166666666667	14.33	0.0463142612409061	5.215	25.5
H4074	0.149771751188548	5.70833333333333	11.67	0.119598065567412	5.685	25.67
H4076	0.0728407044460732	5.15166666666667	24.83	-0.0053954042682903	5.30833333333333	41.17
H4077	-0.022664490097453	4.97333333333333	14.17	-0.117723404609623	5.005	20.67
H4078	-0.122897085853894	4.765	9	-0.191733562659287	4.77166666666667	23.5
H4079	-0.0097137055009583	5.025	13	0.0949491759225753	5.71166666666667	23.33
H4080	0.256625240211925	5.55	20	0.0831528339780838	5.385	25.83
J4081	-0.0102000118517854	5.22833333333333	9	-0.168025795365157	5.03833333333333	20.17
J4082	0.00491224698334319	5.22166666666667	5.67	-0.191912801316728	4.89166666666667	16.33
