GroupID,TillerNumber
Mock,4
Mock,4
Mock,5
Mock,5
Mock,5
Mock,5
Mock,5
Mock,5
Mock,5
Mock,5
Mock,5
Mock,5
Mock,5
Mock,5
Mock,5
Mock,5
Mock,5
Mock,5
Mock,6
Mock,6
Mock,6
Mock,6
Mock,6
Mock,7
R2567,4
R2567,3
R2567,3
R2567,4
R2567,4
R2567,4
R2567,5
R2567,2
R2567,2
R2567,2
R2567,4
R2567,4
R2567,2
R2567,2
R2567,2
R2567,3
R2567,4
R2567,4
R2567,4
R2567,3
R2567,4
R2567,4
R2567,4
R2567,4
R1405,5
R1405,4
R1405,5
R1405,5
R1405,4
R1405,3
R1405,4
R1405,5
R1405,5
R1405,4
R1405,5
R1405,5
R1405,5
R1405,3
R1405,3
R1405,5
R1405,4
R1405,3
R1405,3
R1405,5
R1405,4
R1405,5
R1405,4
R1405,5
R1625,5
R1625,5
R1625,7
R1625,5
R1625,5
R1625,5
R1625,5
R1625,5
R1625,6
R1625,5
R1625,5
R1625,6
R1625,6
R1625,5
R1625,6
R1625,5
R1625,5
R1625,5
R1625,5
R1625,6
R1625,5
R1625,5
R1625,5
R1625,5
R1801,6
R1801,7
R1801,7
R1801,8
R1801,6
R1801,5
R1801,5
R1801,6
R1801,6
R1801,5
R1801,6
R1801,5
R1801,5
R1801,5
R1801,6
R1801,6
R1801,5
R1801,5
R1801,5
R1801,6
R1801,6
R1801,6
R1801,7
R1801,5
R1870,4
R1870,5
R1870,5
R1870,5
R1870,5
R1870,3
R1870,3
R1870,4
R1870,5
R1870,4
R1870,4
R1870,4
R1870,3
R1870,4
R1870,3
R1870,5
R1870,3
R1870,4
R1870,2
R1870,3
R1870,2
R1870,5
R1870,4
R1870,5
R2149,5
R2149,6
R2149,5
R2149,5
R2149,6
R2149,5
R2149,6
R2149,5
R2149,8
R2149,5
R2149,5
R2149,5
R2149,7
R2149,5
R2149,7
R2149,5
R2149,5
R2149,5
R2149,5
R2149,6
R2149,5
R2149,5
R2149,5
R2149,5
R2188,7
R2188,6
R2188,7
R2188,5
R2188,7
R2188,5
R2188,7
R2188,6
R2188,7
R2188,6
R2188,4
R2188,6
R2188,4
R2188,5
R2188,5
R2188,6
R2188,5
R2188,7
R2188,5
R2188,6
R2488,5
R2488,4
R2488,2
R2488,5
R2488,5
R2488,4
R2488,5
R2488,5
R2488,4
R2488,5
R2488,3
R2488,5
R2488,3
R2488,5
R2488,5
R2488,5
R2488,5
R2488,4
R2488,5
R2488,5
R2488,4
R2488,5
R2488,5
R2488,5
R1275,5
R1275,5
R1275,5
R1275,4
R1275,5
R1275,4
R1275,5
R1275,4
R1275,5
R1275,4
R1275,5
R1275,4
R1275,3
R1275,4
R1275,4
R1275,5
R1275,5
R1275,3
R1275,4
R1275,5
R1275,5
R1275,4
R1275,5
R2797,6
R2797,5
R2797,5
R2797,6
R2797,5
R2797,5
R2797,5
R2797,4
R2797,6
R2797,5
R2797,8
R2797,7
R2797,5
R2797,5
R2797,6
R2797,5
R2797,5
R2797,5
R2797,4
R2797,5
R2797,5
R2797,5
R2797,5
R2797,5
R3062,5
R3062,5
R3062,4
R3062,5
R3062,5
R3062,5
R3062,5
R3062,6
R3062,5
R3062,6
R3062,5
R3062,5
R3062,5
R3062,5
R3062,5
R3062,5
R3062,5
R3062,5
R3062,5
R3062,6
R3062,5
R3062,6
R3062,5
R3062,5
R780,6
R780,5
R780,6
R780,7
R780,7
R780,6
R780,5
R780,7
R780,5
R780,5
R780,5
R780,6
R780,5
R780,6
R780,4
R780,6
R780,7
R780,5
R780,6
R780,6
R780,6
R780,6
R780,7
R780,5
