GroupID,Genotyoe,Bacteria,TillerNumber
d14_R780,d14,R780,13
d14_R780,d14,R780,12
d14_R780,d14,R780,8
d14_R780,d14,R780,11
d14_R780,d14,R780,11
d14_R780,d14,R780,8
d14_R780,d14,R780,7
d14_R780,d14,R780,12
d14_R780,d14,R780,13
d14_R780,d14,R780,11
d14_R780,d14,R780,9
d14_R780,d14,R780,9
d14_R780,d14,R780,9
d14_R780,d14,R780,9
d14_R780,d14,R780,10
d14_R780,d14,R780,7
d14_R780,d14,R780,11
d14_R780,d14,R780,12
d14_R780,d14,R780,8
d14_R780,d14,R780,11
d14_R780,d14,R780,12
d14_R780,d14,R780,9
d14_R780,d14,R780,10
d14_R780,d14,R780,12
d14_Mock,d14,Mock,14
d14_Mock,d14,Mock,8
d14_Mock,d14,Mock,10
d14_Mock,d14,Mock,10
d14_Mock,d14,Mock,10
d14_Mock,d14,Mock,8
d14_Mock,d14,Mock,7
d14_Mock,d14,Mock,9
d14_Mock,d14,Mock,12
d14_Mock,d14,Mock,9
d14_Mock,d14,Mock,11
d14_Mock,d14,Mock,12
d14_Mock,d14,Mock,9
d14_Mock,d14,Mock,9
d14_Mock,d14,Mock,9
d14_Mock,d14,Mock,12
d14_Mock,d14,Mock,8
d14_Mock,d14,Mock,8
d14_Mock,d14,Mock,8
d14_Mock,d14,Mock,11
d14_Mock,d14,Mock,6
d14_Mock,d14,Mock,8
d14_Mock,d14,Mock,11
d14_Mock,d14,Mock,11
d27_Mock,d27,Mock,8
d27_Mock,d27,Mock,8
d27_Mock,d27,Mock,7
d27_Mock,d27,Mock,7
d27_Mock,d27,Mock,8
d27_Mock,d27,Mock,6
d27_Mock,d27,Mock,7
d27_Mock,d27,Mock,7
d27_Mock,d27,Mock,7
d27_Mock,d27,Mock,7
d27_Mock,d27,Mock,7
d27_Mock,d27,Mock,8
d27_Mock,d27,Mock,7
d27_Mock,d27,Mock,7
d27_Mock,d27,Mock,8
d27_Mock,d27,Mock,7
d27_Mock,d27,Mock,8
d27_Mock,d27,Mock,8
d27_Mock,d27,Mock,8
d27_Mock,d27,Mock,8
d27_Mock,d27,Mock,9
d27_Mock,d27,Mock,6
d27_Mock,d27,Mock,8
d27_Mock,d27,Mock,8
d27_R780,d27,R780,8
d27_R780,d27,R780,7
d27_R780,d27,R780,6
d27_R780,d27,R780,7
d27_R780,d27,R780,7
d27_R780,d27,R780,7
d27_R780,d27,R780,7
d27_R780,d27,R780,7
d27_R780,d27,R780,7
d27_R780,d27,R780,7
d27_R780,d27,R780,6
d27_R780,d27,R780,6
d27_R780,d27,R780,7
d27_R780,d27,R780,6
d27_R780,d27,R780,7
d27_R780,d27,R780,7
d27_R780,d27,R780,8
d27_R780,d27,R780,7
d27_R780,d27,R780,6
d27_R780,d27,R780,7
d27_R780,d27,R780,5
d27_R780,d27,R780,7
d27_R780,d27,R780,7
d27_R780,d27,R780,7
Nip_R780,Nip,R780,6
Nip_R780,Nip,R780,5
Nip_R780,Nip,R780,6
Nip_R780,Nip,R780,7
Nip_R780,Nip,R780,7
Nip_R780,Nip,R780,6
Nip_R780,Nip,R780,5
Nip_R780,Nip,R780,7
Nip_R780,Nip,R780,5
Nip_R780,Nip,R780,5
Nip_R780,Nip,R780,5
Nip_R780,Nip,R780,6
Nip_R780,Nip,R780,5
Nip_R780,Nip,R780,6
Nip_R780,Nip,R780,4
Nip_R780,Nip,R780,6
Nip_R780,Nip,R780,7
Nip_R780,Nip,R780,5
Nip_R780,Nip,R780,6
Nip_R780,Nip,R780,6
Nip_R780,Nip,R780,6
Nip_R780,Nip,R780,6
Nip_R780,Nip,R780,7
Nip_R780,Nip,R780,5
Nip_Mock,Nip,Mock,4
Nip_Mock,Nip,Mock,5
Nip_Mock,Nip,Mock,5
Nip_Mock,Nip,Mock,6
Nip_Mock,Nip,Mock,5
Nip_Mock,Nip,Mock,5
Nip_Mock,Nip,Mock,5
Nip_Mock,Nip,Mock,5
Nip_Mock,Nip,Mock,5
Nip_Mock,Nip,Mock,5
Nip_Mock,Nip,Mock,5
Nip_Mock,Nip,Mock,5
Nip_Mock,Nip,Mock,7
Nip_Mock,Nip,Mock,5
Nip_Mock,Nip,Mock,5
Nip_Mock,Nip,Mock,5
Nip_Mock,Nip,Mock,5
Nip_Mock,Nip,Mock,5
Nip_Mock,Nip,Mock,6
Nip_Mock,Nip,Mock,4
Nip_Mock,Nip,Mock,6
Nip_Mock,Nip,Mock,6
Nip_Mock,Nip,Mock,6
Nip_Mock,Nip,Mock,5
