GroupID,Genotyoe,Bacteria,TillerNumber
d27_R2567,d27,R2567,8
d27_R2567,d27,R2567,6
d27_R2567,d27,R2567,7
d27_R2567,d27,R2567,8
d27_R2567,d27,R2567,7
d27_R2567,d27,R2567,6
d27_R2567,d27,R2567,7
d27_R2567,d27,R2567,7
d27_R2567,d27,R2567,7
d27_R2567,d27,R2567,7
d27_R2567,d27,R2567,7
d27_R2567,d27,R2567,6
d27_R2567,d27,R2567,7
d27_R2567,d27,R2567,7
d27_R2567,d27,R2567,6
d27_R2567,d27,R2567,6
d27_R2567,d27,R2567,7
d27_R2567,d27,R2567,6
d27_R2567,d27,R2567,5
d27_R2567,d27,R2567,5
d27_R2567,d27,R2567,5
d27_R2567,d27,R2567,7
d27_R2567,d27,R2567,2
d27_R2567,d27,R2567,5
d27_Mock,d27,Mock,7
d27_Mock,d27,Mock,7
d27_Mock,d27,Mock,7
d27_Mock,d27,Mock,7
d27_Mock,d27,Mock,7
d27_Mock,d27,Mock,7
d27_Mock,d27,Mock,7
d27_Mock,d27,Mock,7
d27_Mock,d27,Mock,7
d27_Mock,d27,Mock,7
d27_Mock,d27,Mock,7
d27_Mock,d27,Mock,7
d27_Mock,d27,Mock,7
d27_Mock,d27,Mock,8
d27_Mock,d27,Mock,6
d27_Mock,d27,Mock,7
d27_Mock,d27,Mock,7
d27_Mock,d27,Mock,7
d27_Mock,d27,Mock,7
d27_Mock,d27,Mock,7
d27_Mock,d27,Mock,7
d27_Mock,d27,Mock,7
d27_Mock,d27,Mock,7
d27_Mock,d27,Mock,7
d14_R2567,d14,R2567,12
d14_R2567,d14,R2567,8
d14_R2567,d14,R2567,10
d14_R2567,d14,R2567,10
d14_R2567,d14,R2567,9
d14_R2567,d14,R2567,8
d14_R2567,d14,R2567,8
d14_R2567,d14,R2567,11
d14_R2567,d14,R2567,8
d14_R2567,d14,R2567,9
d14_R2567,d14,R2567,11
d14_R2567,d14,R2567,10
d14_R2567,d14,R2567,10
d14_R2567,d14,R2567,9
d14_R2567,d14,R2567,11
d14_R2567,d14,R2567,9
d14_R2567,d14,R2567,12
d14_R2567,d14,R2567,9
d14_R2567,d14,R2567,9
d14_R2567,d14,R2567,10
d14_R2567,d14,R2567,8
d14_R2567,d14,R2567,11
d14_R2567,d14,R2567,10
d14_R2567,d14,R2567,10
d14_Mock,d14,Mock,14
d14_Mock,d14,Mock,8
d14_Mock,d14,Mock,10
d14_Mock,d14,Mock,10
d14_Mock,d14,Mock,10
d14_Mock,d14,Mock,8
d14_Mock,d14,Mock,7
d14_Mock,d14,Mock,9
d14_Mock,d14,Mock,12
d14_Mock,d14,Mock,9
d14_Mock,d14,Mock,11
d14_Mock,d14,Mock,12
d14_Mock,d14,Mock,9
d14_Mock,d14,Mock,9
d14_Mock,d14,Mock,9
d14_Mock,d14,Mock,12
d14_Mock,d14,Mock,8
d14_Mock,d14,Mock,8
d14_Mock,d14,Mock,8
d14_Mock,d14,Mock,11
d14_Mock,d14,Mock,6
d14_Mock,d14,Mock,8
d14_Mock,d14,Mock,11
d14_Mock,d14,Mock,11
Nip_R2567,Nip,R2567,5
Nip_R2567,Nip,R2567,5
Nip_R2567,Nip,R2567,5
Nip_R2567,Nip,R2567,4
Nip_R2567,Nip,R2567,5
Nip_R2567,Nip,R2567,4
Nip_R2567,Nip,R2567,5
Nip_R2567,Nip,R2567,4
Nip_R2567,Nip,R2567,5
Nip_R2567,Nip,R2567,4
Nip_R2567,Nip,R2567,5
Nip_R2567,Nip,R2567,4
Nip_R2567,Nip,R2567,3
Nip_R2567,Nip,R2567,4
Nip_R2567,Nip,R2567,4
Nip_R2567,Nip,R2567,5
Nip_R2567,Nip,R2567,5
Nip_R2567,Nip,R2567,3
Nip_R2567,Nip,R2567,4
Nip_R2567,Nip,R2567,5
Nip_R2567,Nip,R2567,5
Nip_R2567,Nip,R2567,4
Nip_R2567,Nip,R2567,5
Nip_Mock,Nip,Mock,4
Nip_Mock,Nip,Mock,5
Nip_Mock,Nip,Mock,5
Nip_Mock,Nip,Mock,6
Nip_Mock,Nip,Mock,5
Nip_Mock,Nip,Mock,5
Nip_Mock,Nip,Mock,5
Nip_Mock,Nip,Mock,5
Nip_Mock,Nip,Mock,5
Nip_Mock,Nip,Mock,5
Nip_Mock,Nip,Mock,5
Nip_Mock,Nip,Mock,5
Nip_Mock,Nip,Mock,7
Nip_Mock,Nip,Mock,5
Nip_Mock,Nip,Mock,5
Nip_Mock,Nip,Mock,5
Nip_Mock,Nip,Mock,5
Nip_Mock,Nip,Mock,5
Nip_Mock,Nip,Mock,6
Nip_Mock,Nip,Mock,4
Nip_Mock,Nip,Mock,6
Nip_Mock,Nip,Mock,6
Nip_Mock,Nip,Mock,6
Nip_Mock,Nip,Mock,5
