GroupID,TillerNumber4D,TillerNumber8D,TillerNumber12D,TillerNumber16D,TillerNumber20D,TillerNumber25D,TillerNumber29D,TillerNumber33D,TillerNumber37D,TillerNumber41D
Np_Mock,1,1,2,2,2,2,2,3,3,3
Np_Mock,1,1,3,3,3,3,3,3,3,3
Np_Mock,1,3,3,3,3,3,3,3,3,3
Np_Mock,1,3,3,3,3,3,3,3,3,3
Np_Mock,1,2,3,3,3,3,3,4,4,4
Np_Mock,1,2,2,3,3,3,3,3,3,3
Np_Mock,1,2,2,2,2,2,2,2,2,3
Np_Mock,1,2,2,3,3,3,3,3,3,3
Np_Mock,1,1,2,2,2,2,2,3,3,3
Np_Mock,1,1,2,2,2,2,2,2,3,3
Np_Mock,1,2,3,3,3,3,3,3,3,3
Np_Mock,1,2,3,3,3,3,3,3,3,3
Np_Gr24,1,1,1,1,1,1,1,1,1,1
Np_Gr24,1,1,1,1,1,2,2,2,2,2
Np_Gr24,1,1,1,1,2,2,2,2,2,2
Np_Gr24,1,1,1,1,1,1,1,1,1,1
Np_Gr24,1,1,1,1,1,1,1,1,1,1
Np_Gr24,1,1,1,1,2,2,2,2,2,2
Np_Gr24,1,1,1,1,1,1,1,1,1,1
Np_Gr24,1,1,1,1,1,1,1,1,1,1
Np_Gr24,1,1,1,1,1,1,1,1,1,1
Np_Gr24,1,1,1,1,1,1,1,1,1,1
Np_Gr24,1,1,1,1,1,1,1,1,1,1
Np_Gr24,1,1,1,1,1,1,1,1,1,1
Np_S6,1,1,1,1,1,2,3,3,3,3
Np_S6,1,1,2,2,2,2,2,2,2,2
Np_S6,1,1,1,2,2,2,2,2,2,2
Np_S6,1,1,1,2,2,2,2,2,2,2
Np_S6,1,1,1,1,1,2,2,2,2,2
Np_S6,1,1,2,2,2,2,2,2,2,2
Np_S6,1,1,1,1,1,1,1,1,1,1
Np_S6,1,1,1,2,2,2,2,2,2,2
Np_S6,1,1,1,1,1,2,2,2,2,2
Np_S6,1,1,1,1,2,2,2,2,2,2
Np_S6,1,1,1,1,2,2,2,2,2,2
Np_S6,1,1,1,2,2,2,2,2,2,2
