Variety,TillerNumber,Treatment
Rice_9311,9,Mock
Rice_9311,4,Mock
Rice_9311,5,Mock
Rice_9311,8,Mock
Rice_9311,7,Mock
Rice_9311,3,Mock
Rice_9311,4,Mock
Rice_9311,6,Mock
Rice_9311,4,Mock
Rice_9311,6,Mock
Rice_9311,4,Mock
Rice_9311,7,Mock
Rice_9311,7,Mock
Rice_9311,5,Mock
Rice_9311,6,Mock
Rice_9311,5,Mock
Rice_9311,6,Mock
Rice_9311,6,Mock
Rice_9311,8,Mock
Rice_9311,9,Mock
Rice_9311,6,S6
Rice_9311,5,S6
Rice_9311,3,S6
Rice_9311,5,S6
Rice_9311,3,S6
Rice_9311,3,S6
Rice_9311,3,S6
Rice_9311,3,S6
Rice_9311,5,S6
Rice_9311,3,S6
Rice_9311,3,S6
Rice_9311,4,S6
Rice_9311,6,S6
Rice_9311,3,S6
Rice_9311,4,S6
Rice_9311,3,S6
Rice_9311,4,S6
Rice_9311,5,S6
Rice_9311,7,S6
Rice_9311,5,S6
Rice_9311,3,Gr24
Rice_9311,8,Gr24
Rice_9311,4,Gr24
Rice_9311,6,Gr24
Rice_9311,4,Gr24
Rice_9311,3,Gr24
Rice_9311,3,Gr24
Rice_9311,5,Gr24
Rice_9311,5,Gr24
Rice_9311,3,Gr24
Rice_9311,3,Gr24
Rice_9311,4,Gr24
Rice_9311,5,Gr24
Rice_9311,3,Gr24
Rice_9311,4,Gr24
Rice_9311,4,Gr24
Rice_9311,9,Gr24
Rice_9311,6,Gr24
Rice_9311,7,Gr24
Rice_9311,6,Gr24
