Variety,TillerNumber,Treatment
NC1536,8,Mock
NC1536,12,Mock
NC1536,6,Mock
NC1536,9,Mock
NC1536,8,Mock
NC1536,5,Mock
NC1536,5,Mock
NC1536,9,Mock
NC1536,5,Mock
NC1536,5,Mock
NC1536,9,Mock
NC1536,6,Mock
NC1536,7,Mock
NC1536,6,Mock
NC1536,8,Mock
NC1536,7,Mock
NC1536,7,Mock
NC1536,9,Mock
NC1536,8,Gr24
NC1536,7,Gr24
NC1536,8,Gr24
NC1536,8,Gr24
NC1536,5,Gr24
NC1536,4,Gr24
NC1536,2,Gr24
NC1536,6,Gr24
NC1536,7,Gr24
NC1536,5,Gr24
NC1536,6,Gr24
NC1536,4,Gr24
NC1536,7,Gr24
NC1536,6,Gr24
NC1536,4,Gr24
NC1536,5,Gr24
NC1536,7,Gr24
NC1536,6,Gr24
NC1536,6,Gr24
NC1536,8,S6
NC1536,8,S6
NC1536,8,S6
NC1536,8,S6
NC1536,4,S6
NC1536,5,S6
NC1536,4,S6
NC1536,6,S6
NC1536,4,S6
NC1536,3,S6
NC1536,4,S6
NC1536,6,S6
NC1536,5,S6
NC1536,3,S6
NC1536,9,S6
NC1536,5,S6
NC1536,6,S6
NC1536,6,S6
NC1536,8,S6
NC1536,7,S6
