Variety,TillerNumber,Treatment
Karabaschak,5,Mock
Karabaschak,5,Mock
Karabaschak,8,Mock
Karabaschak,8,Mock
Karabaschak,5,Mock
Karabaschak,7,Mock
Karabaschak,7,Mock
Karabaschak,10,Mock
Karabaschak,6,Mock
Karabaschak,7,Mock
Karabaschak,9,Mock
Karabaschak,10,Mock
Karabaschak,7,Mock
Karabaschak,7,Mock
Karabaschak,8,Mock
Karabaschak,9,Mock
Karabaschak,7,Mock
Karabaschak,6,Mock
Karabaschak,6,Mock
Karabaschak,2,S6
Karabaschak,6,S6
Karabaschak,8,S6
Karabaschak,5,S6
Karabaschak,4,S6
Karabaschak,5,S6
Karabaschak,5,S6
Karabaschak,5,S6
Karabaschak,3,S6
Karabaschak,4,S6
Karabaschak,4,S6
Karabaschak,4,S6
Karabaschak,2,S6
Karabaschak,4,S6
Karabaschak,2,S6
Karabaschak,6,S6
Karabaschak,4,S6
Karabaschak,6,S6
Karabaschak,6,S6
Karabaschak,7,Gr24
Karabaschak,5,Gr24
Karabaschak,9,Gr24
Karabaschak,4,Gr24
Karabaschak,6,Gr24
Karabaschak,5,Gr24
Karabaschak,5,Gr24
Karabaschak,6,Gr24
Karabaschak,3,Gr24
Karabaschak,6,Gr24
Karabaschak,4,Gr24
Karabaschak,5,Gr24
Karabaschak,5,Gr24
Karabaschak,3,Gr24
Karabaschak,4,Gr24
Karabaschak,6,Gr24
Karabaschak,6,Gr24
Karabaschak,5,Gr24
Karabaschak,3,Gr24
