GroupID,48.8281,97.6563,195.3125,390.625,781.25,1562.5,3125,6250,12500,25000,50000,100000
OsD14_GR24,-0.08916,-0.02074,-0.09522,-0.13621,0.09395,0.227695,0.38268,0.317168,0.65139,0.762029,0.837586,1.12822
OsD14_GR24,0.083549,0.066525,0.087383,0.098757,0.018937,0.139071,0.298712,0.465256,0.817937,0.929921,0.90516,0.9843118
OsD14_GR24,0.096023,-0.11732,0.031111,0.014434,-0.046,0.153141,0.26214,0.49825,0.618232,0.864393,1.04325,1.066391
OsD14_S6,0.058043,0.032955,-0.11111,-0.08324,0.028612,0.059056,0.18007,0.304106,0.541364,0.757026,0.935956,0.9775
OsD14_S6,0.15073,0.24032,0.142161,0.188098,0.154809,0.266261,0.26678,0.355624,0.526024,0.64012,0.880125,0.917166
OsD14_S6,0.034138,0.032727,-0.08152,0.10559,0.16475,0.112751,0.385394,0.4919,0.86443,0.749932,0.884457,0.83695
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
