GroupID,TillerNumber
Np_Mock,2
Np_Mock,3
Np_Mock,2
Np_Mock,2
Np_Mock,3
Np_Mock,2
Np_Mock,2
Np_Mock,3
Np_Mock,2
Np_Mock,2
Np_Mock,2
Np_Mock,2
Np_Gr24,2
Np_Gr24,0
Np_Gr24,0
Np_Gr24,0
Np_Gr24,0
Np_Gr24,0
Np_Gr24,1
Np_Gr24,0
Np_Gr24,0
Np_Gr24,0
Np_Gr24,0
Np_S6,1
Np_S6,1
Np_S6,1
Np_S6,1
Np_S6,0
Np_S6,1
Np_S6,1
Np_S6,1
Np_S6,1
Np_S6,1
Np_S6,1
Np_S6,1
d14_Mock,9
d14_Mock,13
d14_Mock,10
d14_Mock,12
d14_Mock,6
d14_Mock,9
d14_Mock,11
d14_Mock,9
d14_Mock,12
d14_Mock,11
d14_Mock,8
d14_Mock,6
d14_Gr24,9
d14_Gr24,11
d14_Gr24,10
d14_Gr24,9
d14_Gr24,11
d14_Gr24,10
d14_Gr24,9
d14_Gr24,9
d14_Gr24,9
d14_Gr24,7
d14_Gr24,8
d14_Gr24,7
d14_S6,10
d14_S6,11
d14_S6,8
d14_S6,9
d14_S6,10
d14_S6,11
d14_S6,10
d14_S6,7
d14_S6,9
d14_S6,9
d14_S6,10
