GroupID,TillerNumber
d14_Mock,24
d14_Mock,20
d14_Mock,22
d14_Mock,21
d14_Mock,13
d14_Mock,13
d14_Mock,19
d14_Mock,17
d14_Mock,17
d14_Mock,13
d14_Mock,16
d14_Mock,13
d14_Mock,23
d14_Mock,20
d14_Mock,11
d14_Mock,25
d14_Mock,22
d14_Mock,13
d14_Mock,27
d14_Gr24,25
d14_Gr24,29
d14_Gr24,26
d14_Gr24,18
d14_Gr24,25
d14_Gr24,19
d14_Gr24,16
d14_Gr24,13
d14_Gr24,16
d14_Gr24,9
d14_Gr24,15
d14_Gr24,14
d14_Gr24,25
d14_Gr24,18
d14_Gr24,9
d14_Gr24,14
d14_Gr24,21
d14_Gr24,20
d14_Gr24,23
d14_S6,27
d14_S6,20
d14_S6,21
d14_S6,23
d14_S6,11
d14_S6,11
d14_S6,13
d14_S6,25
d14_S6,12
d14_S6,11
d14_S6,11
d14_S6,25
d14_S6,11
d14_S6,12
d14_S6,14
d14_S6,28
d14_S6,27
d14_S6,17
Np_Mock,9
Np_Mock,8
Np_Mock,6
Np_Mock,8
Np_Mock,4
Np_Mock,5
Np_Mock,6
Np_Mock,9
Np_Mock,5
Np_Mock,8
Np_Mock,5
Np_Mock,7
Np_Mock,8
Np_Mock,7
Np_Mock,4
Np_Mock,8
Np_Mock,8
Np_Mock,6
Np_Mock,7
Np_Gr24,9
Np_Gr24,5
Np_Gr24,9
Np_Gr24,7
Np_Gr24,4
Np_Gr24,3
Np_Gr24,5
Np_Gr24,6
Np_Gr24,3
Np_Gr24,3
Np_Gr24,4
Np_Gr24,7
Np_Gr24,3
Np_Gr24,6
Np_Gr24,3
Np_Gr24,9
Np_Gr24,4
Np_Gr24,6
Np_Gr24,7
Np_S6,7
Np_S6,6
Np_S6,6
Np_S6,5
Np_S6,5
Np_S6,4
Np_S6,4
Np_S6,6
Np_S6,4
Np_S6,4
Np_S6,3
Np_S6,4
Np_S6,5
Np_S6,3
Np_S6,5
Np_S6,7
Np_S6,6
Np_S6,6
Np_S6,6
