Genus	d10RtBj01	d10RtBj02	d10RtBj03	d10RtBj04	d10RtBj05	d10RtBj06	d10RtBj07	d10RtBj08	d10RtBj09	d10RtBj10	d10RtBj11	d10RtBj12	d10RtBj13	d10RtBj14	d14RtBj01	d14RtBj02	d14RtBj03	d14RtBj04	d14RtBj05	d14RtBj06	d14RtBj07	d14RtBj08	d14RtBj09	d14RtBj10	d14RtBj11	d14RtBj12	d14RtBj13	d14RtBj14	d17RtBj01	d17RtBj02	d17RtBj03	d17RtBj04	d17RtBj05	d17RtBj06	d17RtBj07	d17RtBj08	d17RtBj09	d17RtBj10	d17RtBj11	d17RtBj12	d17RtBj13	d17RtBj14	d53RtBj01	d53RtBj02	d53RtBj03	d53RtBj04	d53RtBj05	d53RtBj06	d53RtBj07	d53RtBj08	d53RtBj09	d53RtBj10	d53RtBj11	d53RtBj12	NpRtBj01	NpRtBj02	NpRtBj03	NpRtBj04	NpRtBj05	NpRtBj06	NpRtBj07	NpRtBj08	NpRtBj09	NpRtBj10	NpRtBj11	NpRtBj12	NpRtBj13	NpRtBj14
Unassigned	29	42.6	43.6	22.5	39.6	42.2	47.5	48.9	39.3	46.1	52	42.9	44.7	39.8	37.9	44.1	41.2	34.2	38.7	42.1	39.4	42.3	45.9	41.3	44	45.5	34.8	26.4	50.1	40.9	40.2	46.1	42.4	39.7	39.2	43.7	42.2	46.2	49.2	42.4	41.6	39.6	50.9	46	46.4	43.1	48.6	45	41.9	49.2	47	40.4	48.3	51.3	9.35	9.34	13.8	32.5	19.1	13.5	28.2	32.5	25.1	21.7	38.1	28.9	23.1	24.1
Clostridium_sensu_stricto	0.499	0.589	1.5	0.325	0.87	0.798	0.579	0.697	0.83	0.267	1.02	0.442	1.54	0.918	0.533	0.84	0.301	10.3	0.839	0.984	1.86	0.608	1.24	1.11	0.945	1.58	1.55	1.12	0.843	2.67	0.358	1.18	0.349	0.345	0.405	1.05	1.56	0.815	0.575	0.598	0.22	0.6	0.489	1.42	0.6	0.973	0.48	0.847	0.818	0.431	0.7	0.837	2.34	0.84	0.146	0.392	0.213	1.89	1.61	0.357	2.12	0.88	0.611	1.58	2.41	1.59	0.504	2.82
Paenibacillus	0.447	0.282	0.401	0.427	0.214	0.0712	0.112	0.128	0.196	0.152	0.153	0.108	0.129	0.0962	0.364	0.272	0.361	0.693	0.286	1.09	0.302	0.285	0.348	0.269	0.218	0.262	0.746	0.118	0.13	0.447	0.163	0.133	0.18	0.415	0.278	0.291	0.442	0.234	0.105	0.0862	0.131	0.316	0.146	0.162	0.22	0.225	0.0875	0.244	0.194	0.104	0.112	0.193	0.112	0.122	0.564	1.05	0.35	0.718	0.69	0.799	0.333	0.802	0.335	0.659	0.373	0.783	0.548	0.587
Sphingomonas	0.217	0.245	0.401	0.24	0.342	0.231	0.26	0.202	0.375	0.269	0.404	0.314	0.255	0.333	0.338	0.247	0.173	0.318	0.239	0.377	0.213	0.166	0.226	0.461	0.345	0.279	0.361	0.729	0.28	0.192	0.458	0.459	0.612	0.75	0.94	0.281	0.251	0.348	0.495	0.222	0.909	1.37	0.156	0.304	0.259	0.267	0.361	0.142	0.44	0.281	0.238	0.734	0.161	0.107	0.383	0.204	0.143	0.29	0.173	0.137	0.245	0.421	0.276	0.157	0.385	0.287	0.267	0.222
Nocardioides	0.638	0.918	1.19	0.285	0.787	0.415	0.856	0.386	1.06	0.372	0.568	0.6	0.875	0.454	0.697	1.05	0.705	1.33	0.746	1.5	1.09	0.494	0.561	0.912	0.975	1.21	0.922	0.919	0.617	0.398	0.512	0.298	0.517	0.299	0.744	0.815	0.519	0.645	0.748	0.331	0.783	0.693	0.884	0.889	0.728	1.31	0.864	0.79	1.12	1.09	0.84	0.771	0.602	0.947	0.257	0.668	1.37	1.06	0.662	0.491	1.19	0.873	1.27	0.473	1.15	1.45	0.556	0.858
Massilia	0.0907	0.0494	0.114	0.03	0.0285	0.0237	0.0969	0.0762	0.0519	0.0465	0.0321	0.0167	0.0731	0.0515	0.0733	0.167	0.0583	0.181	0.115	0.238	0.128	0.0446	0.143	0.123	0.137	0.167	0.0618	0.512	0.0462	0.0338	0.0867	0.045	0.19	0.0457	0.0583	0.0221	0.127	0.112	0.0351	0.0167	0.0566	0.031	0.0485	0.0889	0.0564	0.0889	0.0536	0.0451	0.0733	0.177	0.0544	0.0692	0.049	0.0449	0.0227	0.0349	0.107	0.0535	0.0629	0.0668	0.213	0.262	0.326	0.0423	0.18	0.0956	0.0698	0.11
Acetivibrio	0.0939	0.0942	0.231	0.125	0.231	0.0415	0.0739	0.101	0.0755	0.0734	0.292	0.0833	0.0832	0.0653	0.096	0.112	0.173	0.11	0.158	0.336	0.157	0.17	0.161	0.109	0.16	0.197	0.105	0.0697	0.201	0.114	0.0596	0.0852	0.0926	0.11	0.12	0.18	0.152	0.0838	0.108	0.0946	0.0804	0.149	0.194	0.166	0.195	0.0945	0.161	0.242	0.15	0.1	0.0884	0.0873	0.112	0.148	0.0536	0.141	0.147	0.138	0.0839	0.0577	0.139	0.116	0.149	0.167	0.0977	0.158	0.0658	0.118
Anaerosoma	0.107	0.04	0.152	0.0275	0.148	0.0445	0.14	0.0605	0.123	0.0514	0.129	0.0444	0.0731	0.0447	0.096	0.0961	0.105	0.05	0.0867	0.132	0.141	0.0557	0.0635	0.132	0.157	0.0837	0.133	0.0385	0.125	0.0988	0.13	0.0994	0.0902	0.122	0.141	0.306	0.191	0.168	0.118	0.0751	0.137	0.144	0.0589	0.117	0.0743	0.0806	0.0932	0.124	0.077	0.0902	0.15	0.0662	0.098	0.0727	0.0552	0.0645	0.0584	0.135	0.0863	0.0704	0.129	0.168	0.0799	0.117	0.162	0.189	0.173	0.116
Gaiella	0.0842	0.0942	0.183	0.0325	0.174	0.0653	0.133	0.0516	0.144	0.154	0.217	0.0389	0.187	0.0756	0.119	0.103	0.0771	0.139	0.0737	0.159	0.145	0.0478	0.0936	0.141	0.193	0.122	0.145	0.0577	0.106	0.0936	0.122	0.0544	0.146	0.0549	0.127	0.246	0.137	0.0812	0.0929	0.0723	0.101	0.0733	0.166	0.169	0.164	0.158	0.104	0.131	0.136	0.117	0.116	0.0301	0.118	0.141	0.0374	0.146	0.162	0.257	0.0932	0.0812	0.243	0.154	0.209	0.132	0.189	0.287	0.13	0.206
Devosia	0.311	0.301	0.438	0.412	0.417	0.84	0.275	0.105	0.556	0.401	0.833	0.6	0.288	0.241	0.258	0.19	0.365	0.316	0.284	0.418	0.18	0.242	0.267	0.542	0.372	0.326	0.418	0.714	0.193	0.0962	0.913	0.128	0.458	0.482	0.94	0.335	0.345	0.299	1.27	0.275	1.04	0.358	0.159	0.3	0.302	0.147	0.265	0.142	0.275	0.397	0.218	0.954	0.104	0.186	0.172	0.234	0.343	0.494	0.145	0.318	0.297	0.358	0.388	0.142	0.287	0.331	0.371	0.287
Hyphomicrobium	1.27	1.6	1.69	0.852	1.78	0.985	0.808	0.722	1.21	0.792	1.09	1.61	1.69	1.19	0.849	0.501	0.739	0.327	0.965	1.01	0.466	1.67	0.561	0.908	0.494	0.274	0.765	0.423	0.84	0.686	1.04	0.928	1.01	0.991	1.24	1.72	0.981	0.982	1.18	1.39	1.29	1.24	0.478	0.463	0.433	0.603	0.472	0.917	0.414	0.471	0.272	0.524	0.32	0.25	0.926	3.54	1.92	1.17	0.835	1.22	0.892	1.21	1.23	1.73	0.538	1.82	2.73	3.85
Caldilinea	0.104	0.0589	0.264	0.0475	0.257	0.0683	0.219	0.0314	0.111	0.088	0.311	0.0306	0.161	0.11	0.0859	0.071	0.0564	0.0885	0.0802	0.112	0.143	0.0971	0.118	0.0757	0.197	0.154	0.0737	0.0577	0.122	0.0962	0.0786	0.0615	0.0682	0.0579	0.134	0.253	0.0894	0.0533	0.138	0.117	0.0745	0.0986	0.121	0.126	0.0948	0.108	0.0791	0.0903	0.0513	0.0868	0.116	0.0692	0.0721	0.124	0.0244	0.0262	0.0584	0.0968	0.0443	0.0433	0.116	0.212	0.0993	0.092	0.122	0.124	0.0598	0.128
Subdivision3_genera_incertae_sedis	0.013	0.0282	0.0582	0.00749	0.0628	0.0742	0.163	0.065	0.12	0.0905	0.158	0.0611	0.0656	0.127	0.101	0.151	0.113	0.052	0.139	0.106	0.0908	0.0685	0.138	0.0827	0.168	0.272	0.0713	0.0842	0.128	0.0936	0.0731	0.142	0.146	0.0762	0.0754	0.0442	0.109	0.0431	0.0653	0.0807	0.0387	0.0197	0.204	0.202	0.138	0.203	0.0903	0.147	0.125	0.147	0.133	0.0903	0.107	0.156	0.00487	0	0.00565	0.0127	0.0163	0.00361	0.0401	0.0638	0.0194	0.00995	0.0275	0.0362	0.0179	0.0275
